# Unit still on at 9:30AM next day. No sign of the string even being weakened
# by an attempted cut.
# Established terminal connection using XBee USB dongle
# Got these three readings (one per minute)
1277.22, 23.94, 8.57, 5.65, 0
1278.34, 23.94, 8.57, 5.64, 0
1279.46, 23.94, 8.57, 5.64, 0

# Cycled power on unit and got a few readings before dumping the EEPROM log
# Not sure the battery should have charged up, but I'm not sure what happens
# after a cut command, but this would be consistent with failure to dump the
# charge into the wire.

Vbat = 8.69V, Vcut = 3.85V. Waiting for full charge...
Vbat = 8.65V, Vcut = 3.93V. Waiting for full charge...
Vbat = 8.64V, Vcut = 4.01V. Waiting for full charge...
Vbat = 8.62V, Vcut = 4.09V. Waiting for full charge...
Vbat = 8.62V
Enter D to dump EEProm data, 
any other key to set up the timer...
2*(T+75)(C), vB*20(V), vC*20(V), Cut
229, 174, 91, 0
225, 174, 91, 0
222, 175, 91, 0
218, 175, 91, 0
214, 175, 91, 0
211, 175, 90, 0
208, 175, 90, 0
205, 175, 90, 0
202, 175, 90, 0
197, 175, 90, 0
194, 174, 90, 0
190, 174, 90, 0
187, 174, 90, 0
184, 174, 90, 0
181, 174, 90, 0
178, 173, 90, 0
175, 173, 90, 0
172, 173, 90, 0
169, 172, 90, 0
165, 172, 90, 0
161, 171, 90, 0
158, 171, 90, 0
155, 171, 90, 0
152, 170, 90, 0
149, 169, 90, 0
146, 168, 90, 0
143, 160, 90, 0
140, 164, 91, 0
137, 165, 90, 0
134, 165, 90, 0
130, 164, 90, 0
127, 162, 90, 0
124, 160, 89, 0
121, 152, 89, 0
118, 149, 89, 0
115, 155, 89, 0
112, 148, 89, 0
110, 151, 89, 0
107, 150, 89, 0
104, 151, 89, 0
100, 153, 89, 0
98, 151, 89, 0
95, 148, 89, 0
93, 146, 89, 0
90, 145, 89, 0
89, 144, 89, 0
87, 142, 89, 0
86, 141, 89, 0
85, 136, 89, 0
84, 135, 89, 0
83, 122, 89, 0
82, 124, 89, 0
82, 121, 89, 0
81, 121, 89, 0
81, 126, 89, 0
80, 119, 89, 0
80, 120, 89, 0
80, 114, 89, 0
80, 111, 89, 0
80, 114, 89, 0
81, 114, 89, 0
81, 110, 89, 0
81, 112, 89, 0
81, 113, 89, 0
81, 110, 89, 0
81, 107, 89, 0
81, 104, 89, 0
81, 106, 89, 0
81, 106, 89, 0
81, 102, 89, 0
82, 102, 89, 0
83, 100, 89, 0
83, 103, 89, 0
84, 102, 89, 0
85, 103, 89, 0
86, 102, 89, 0
86, 110, 89, 0
87, 109, 89, 0
88, 108, 89, 0
89, 107, 89, 0
89, 107, 89, 0
90, 107, 89, 0
91, 106, 89, 0
92, 107, 89, 0
93, 107, 89, 0
94, 107, 89, 0
95, 109, 89, 0
96, 110, 89, 0
97, 109, 89, 0
98, 111, 89, 0
99, 112, 89, 0
100, 114, 89, 0
100, 114, 89, 0
100, 113, 89, 0
101, 114, 89, 0
103, 115, 89, 0
103, 115, 89, 0
104, 117, 89, 0
105, 115, 89, 0
105, 119, 89, 0
106, 118, 89, 0
107, 119, 89, 0
107, 118, 89, 0
108, 118, 89, 0
108, 119, 89, 0
108, 119, 89, 0
108, 120, 89, 0
108, 121, 89, 0
109, 121, 89, 0
109, 120, 89, 0
109, 120, 89, 0
109, 121, 89, 0
109, 122, 89, 0
108, 123, 89, 0
108, 123, 89, 0
108, 120, 125, 1
108, 123, 125, 1
108, 123, 125, 1
108, 123, 125, 1
107, 123, 125, 1
106, 123, 125, 1
105, 123, 125, 1
105, 123, 125, 1
104, 122, 125, 1
104, 122, 125, 1
104, 122, 125, 1
104, 122, 126, 1
105, 122, 125, 1
106, 122, 125, 1
107, 123, 125, 1
109, 123, 125, 1
112, 122, 126, 1
113, 123, 125, 1
114, 123, 125, 1
114, 123, 125, 1
117, 123, 125, 1
119, 124, 125, 1
121, 124, 125, 1
122, 124, 125, 1
122, 124, 125, 1
122, 125, 125, 1
123, 126, 125, 1
124, 126, 125, 1
124, 127, 125, 1
123, 127, 125, 1
121, 127, 125, 1
124, 128, 125, 1
126, 128, 125, 1
125, 129, 125, 1
124, 129, 125, 1
125, 130, 125, 1
127, 130, 125, 1
128, 131, 125, 1
127, 131, 125, 1
124, 131, 125, 1
123, 131, 125, 1
121, 131, 125, 1
122, 131, 125, 1
124, 132, 125, 1
123, 132, 125, 1
121, 132, 125, 1
122, 131, 125, 1
121, 131, 125, 1
119, 131, 125, 1
116, 131, 125, 1
114, 131, 125, 1
113, 130, 125, 1
112, 130, 125, 1
112, 131, 125, 1
114, 130, 125, 1
114, 128, 125, 1
113, 126, 125, 1
114, 127, 125, 1
115, 128, 125, 1
114, 130, 125, 1
114, 130, 125, 1
115, 130, 125, 1
115, 129, 125, 1
114, 129, 125, 1
115, 129, 125, 1
119, 129, 125, 1
